movie_id,country_code,country_name
20481,US,United States of America
421892,US,United States of America
55301,US,United States of America
663558,CN,China
149509,US,United States of America
16390,US,United States of America
116745,GB,United Kingdom
116745,US,United States of America
1363974,JP,Japan
137227,JP,Japan
8204,US,United States of America
428045,CN,China
428045,RU,Russia
2062,US,United States of America
1671175,NP,Nepal
22,US,United States of America
122906,GB,United Kingdom
122906,US,United States of America
841755,US,United States of America
311324,CN,China
311324,US,United States of America
606234,GB,United Kingdom
606234,HU,Hungary
606234,US,United States of America
161822,JP,Japan
456740,BG,Bulgaria
456740,US,United States of America
456740,FR,France
122917,NZ,New Zealand
122917,US,United States of America
1490980,JP,Japan
899112,CA,Canada
899112,US,United States of America
10280,US,United States of America
761898,JP,Japan
2044,US,United States of America
59436,FR,France
59436,ES,Spain
59436,US,United States of America
12335,US,United States of America
58,US,United States of America
18491,JP,Japan
22586,US,United States of America
297021,JP,Japan
1660992,KR,South Korea
43074,US,United States of America
417859,US,United States of America
2114,JP,Japan
2114,US,United States of America
315465,JP,Japan
75,US,United States of America
321612,US,United States of America
14411,US,United States of America
426063,US,United States of America
159824,US,United States of America
81,JP,Japan
430162,GB,United Kingdom
10323,GB,United Kingdom
10323,US,United States of America
245842,AU,Australia
245842,CN,China
245842,FR,France
245842,HK,Hong Kong
245842,GB,United Kingdom
245842,US,United States of America
460885,BE,Belgium
460885,GB,United Kingdom
460885,US,United States of America
2134,US,United States of America
1646671,PL,Poland
2137,HK,Hong Kong
10330,US,United States of America
10336,US,United States of America
407655,US,United States of America
350312,IN,India
137321,US,United States of America
14442,IE,Ireland
14442,GB,United Kingdom
77931,US,United States of America
77931,CA,Canada
77931,BE,Belgium
1226863,JP,Japan
1226863,US,United States of America
503919,BR,Brazil
503919,US,United States of America
26736,US,United States of America
10351,US,United States of America
950387,SE,Sweden
950387,US,United States of America
1542261,JP,Japan
118,GB,United Kingdom
118,US,United States of America
120,NZ,New Zealand
120,US,United States of America
121,NZ,New Zealand
121,US,United States of America
122,NZ,New Zealand
122,US,United States of America
123,GB,United Kingdom
123,US,United States of America
123,ES,Spain
147576,JP,Japan
751741,US,United States of America
1443961,IN,India
128,JP,Japan
129,JP,Japan
2179,US,United States of America
2179,DE,Germany
6278,IE,Ireland
6278,GB,United Kingdom
6278,US,United States of America
1611912,IE,Ireland
137,US,United States of America
10379,GB,United Kingdom
10379,US,United States of America
16523,US,United States of America
16523,DE,Germany
141,US,United States of America
12429,JP,Japan
643215,FR,France
643215,BE,Belgium
1007757,US,United States of America
1007757,ES,Spain
39057,JP,Japan
12437,US,United States of America
12444,GB,United Kingdom
12444,US,United States of America
12445,GB,United Kingdom
12445,US,United States of America
360605,US,United States of America
532639,US,United States of America
162,US,United States of America
86184,JP,Japan
682153,JP,Japan
37034,CN,China
37034,HK,Hong Kong
37034,US,United States of America
14506,DE,Germany
14506,GB,United Kingdom
14506,US,United States of America
936108,US,United States of America
936108,BE,Belgium
173,US,United States of America
75948,CN,China
75948,HK,Hong Kong
522417,US,United States of America
258230,ES,Spain
258230,US,United States of America
