movie_id,language_code,language_name
20481,en,English
421892,en,English
149509,en,English
663558,zh,普通话
663558,pt,Português
55301,en,English
1671175,ne,
116745,en,English
116745,is,Íslenska
116745,es,Español
137227,ja,日本語
8204,en,English
428045,ru,Pусский
428045,en,English
428045,zh,普通话
2062,en,English
2062,fr,Français
423949,en,English
22,en,English
122906,en,English
841755,en,English
311324,zh,普通话
311324,en,English
311324,es,Español
606234,en,English
606234,ja,日本語
161822,ja,日本語
456740,ru,Pусский
456740,tr,Türkçe
456740,de,Deutsch
456740,en,English
122917,en,English
10280,en,English
899112,en,English
899112,pt,Português
899112,es,Español
454699,en,English
59436,en,English
59436,fr,Français
59436,de,Deutsch
59436,es,Español
403510,en,English
58,en,English
58,tr,Türkçe
58,el,ελληνικά
58,zh,普通话
18491,ja,日本語
22586,en,English
1003579,en,English
1660992,ko,한국어/조선말
1312833,en,English
43074,en,English
417859,en,English
417859,es,Español
315465,ja,日本語
6217,en,English
75,en,English
75,fr,Français
321612,en,English
321612,fr,Français
14411,en,English
426063,ru,Pусский
426063,de,Deutsch
426063,la,Latin
426063,ro,Română
426063,en,English
159824,en,English
81,ja,日本語
430162,en,English
10323,en,English
10323,pt,Português
10323,es,Español
475215,ja,日本語
460885,en,English
2134,en,English
1646671,pl,Polski
2137,cn,广州话 / 廣州話
10330,zh,普通话
10330,en,English
10336,en,English
407655,th,ภาษาไทย
407655,en,English
350312,te,తెలుగు
137321,en,English
14442,en,English
1226863,en,English
503919,en,English
26736,en,English
950387,en,English
1542261,ja,日本語
118,en,English
120,en,English
121,en,English
122,en,English
123,en,English
1443961,te,తెలుగు
936061,en,English
128,ja,日本語
129,ja,日本語
1611912,en,English
1611912,el,ελληνικά
1611912,ga,Gaeilge
137,en,English
137,fr,Français
137,it,Italiano
10379,en,English
16523,en,English
141,en,English
12429,ja,日本語
643215,fr,Français
144,tr,Türkçe
144,he,עִבְרִית
144,de,Deutsch
144,ja,日本語
144,fr,Français
144,en,English
144,es,Español
39057,ja,日本語
1007757,en,English
32916,en,English
12437,en,English
12444,en,English
12445,en,English
360605,en,English
162,en,English
968868,ja,日本語
86184,ja,日本語
682153,ja,日本語
37034,zh,普通话
936108,en,English
936108,fr,Français
936108,ja,日本語
71676,en,English
173,en,English
522417,en,English
258230,en,English
71864,en,English
823482,en,English
823482,fr,Français
10437,en,English
1659077,xx,No Language
10439,en,English
10439,fr,Français
8392,ja,日本語
